1____,3___,10/10/2020 H 12:32,730/415_,raqueta2/pelota
15___,3___,24/10/2020 H 12:32,730/415_,raqueta2/pelota
15___,3___,24/10/2020 H 12:32,10/285__,raqueta1/pelota
15___,3___,24/10/2020 H 12:32,730/38__,raqueta2/pelota
15___,3___,24/10/2020 H 12:32,730/27__,raqueta2/pelota
15___,3___,24/10/2020 H 12:32,730/38__,raqueta2/pelota
15___,3___,24/10/2020 H 12:32,10/145__,raqueta1/pelota
15___,3___,24/10/2020 H 12:32,730/393_,raqueta2/pelota
15___,3___,24/10/2020 H 12:32,10/325__,raqueta1/pelota
15___,3___,24/10/2020 H 12:32,730/16__,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,730/415_,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,730/415_,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,10/295__,raqueta1/pelota
16___,8___,24/10/2020 H 12:37,730/38__,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,10/255__,raqueta1/pelota
16___,8___,24/10/2020 H 12:37,10/305__,raqueta1/pelota
16___,8___,24/10/2020 H 12:37,730/227_,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,10/5____,raqueta1/pelota
16___,8___,24/10/2020 H 12:37,730/318_,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,730/409_,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,730/409_,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,10/285__,raqueta1/pelota
16___,8___,24/10/2020 H 12:37,730/43__,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,10/265__,raqueta1/pelota
16___,8___,24/10/2020 H 12:37,730/293_,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,10/35___,raqueta1/pelota
16___,8___,24/10/2020 H 12:37,730/218_,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,730/23__,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,10/135__,raqueta1/pelota
16___,8___,24/10/2020 H 12:37,730/393_,raqueta2/pelota
16___,8___,24/10/2020 H 12:37,10/105__,raqueta1/pelota
16___,8___,24/10/2020 H 12:37,730/165_,raqueta2/pelota
